player,team,proj_pts,pos
Josh Allen,BUF,22.16,QB
Lamar Jackson,BAL,22.09,QB
Jalen Hurts,PHI,21.11,QB
Jayden Daniels,WAS,20.93,QB
Joe Burrow,CIN,20.09,QB
Patrick Mahomes II,KC,19.34,QB
Baker Mayfield,TB,18.92,QB
Kyler Murray,ARI,18.76,QB
Brock Purdy,SF,18.31,QB
Bo Nix,DEN,18.16,QB
Justin Fields,NYJ,17.71,QB
J.J. McCarthy,MIN,17.15,QB
Justin Herbert,LAC,17.15,QB
Dak Prescott,DAL,17.15,QB
Jared Goff,DET,17.01,QB
Caleb Williams,CHI,16.91,QB
C.J. Stroud,HOU,16.46,QB
Jordan Love,GB,16.38,QB
Trevor Lawrence,JAC,16.15,QB
Drake Maye,NE,16.12,QB
Matthew Stafford,LAR,15.68,QB
Michael Penix Jr.,ATL,15.49,QB
Tua Tagovailoa,MIA,15.46,QB
Bryce Young,CAR,15.46,QB
Geno Smith,LV,15.4,QB
Sam Darnold,SEA,15.11,QB
Cameron Ward,TEN,15.0,QB
Aaron Rodgers,PIT,13.94,QB
Anthony Richardson Sr.,IND,11.94,QB
Russell Wilson,NYG,11.43,QB
Tyler Shough,NO,10.78,QB
Daniel Jones,IND,6.78,QB
Joe Flacco,CLE,6.61,QB
Spencer Rattler,NO,4.54,QB
Kenny Pickett,CLE,3.42,QB
Jaxson Dart,NYG,3.33,QB
Dillon Gabriel,CLE,2.8,QB
Shedeur Sanders,CLE,2.4,QB
Jalen Milroe,SEA,1.35,QB
Mason Rudolph,PIT,1.11,QB
Jameis Winston,NYG,0.96,QB
Malik Willis,GB,0.95,QB
Marcus Mariota,WAS,0.77,QB
Jimmy Garoppolo,LAR,0.74,QB
Mac Jones,SF,0.72,QB
Joshua Dobbs,NE,0.71,QB
Tyrod Taylor,NYJ,0.7,QB
Zach Wilson,MIA,0.69,QB
Jake Browning,CIN,0.66,QB
Aidan O'Connell,LV,0.65,QB
Sam Howell,MIN,0.62,QB
Jacoby Brissett,ARI,0.62,QB
Gardner Minshew II,KC,0.6,QB
Joe Milton III,DAL,0.57,QB
Hendon Hooker,DET,0.54,QB
Mitchell Trubisky,BUF,0.52,QB
Nick Mullens,JAC,0.52,QB
Jarrett Stidham,DEN,0.52,QB
Cooper Rush,BAL,0.51,QB
Davis Mills,HOU,0.51,QB
Drew Lock,SEA,0.49,QB
Tanner McKee,PHI,0.49,QB
Andy Dalton,CAR,0.48,QB
Tyson Bagent,CHI,0.48,QB
Brandon Allen,TEN,0.46,QB
Quinn Ewers,MIA,0.44,QB
Kirk Cousins,ATL,0.43,QB
Kyle Trask,TB,0.43,QB
Trey Lance,LAC,0.41,QB
Deshaun Watson,CLE,0.39,QB
Case Keenum,CHI,0.37,QB
Jake Haener,NO,0.32,QB
Josh Johnson,WAS,0.29,QB
Cam Miller,LV,0.28,QB
Graham Mertz,HOU,0.28,QB
Kyle McCord,PHI,0.28,QB
Will Howard,PIT,0.28,QB
Riley Leonard,IND,0.24,QB
Clayton Tune,ARI,0.17,QB
Taylor Heinicke,LAC,0.15,QB
Tyler Huntley,CLE,0.13,QB
Kyle Allen,DET,0.0,QB
Mike White,BUF,0.0,QB
Brett Rypien,MIN,0.0,QB
Easton Stick,ATL,0.0,QB
Logan Woodside,PIT,0.0,QB
Teddy Bridgewater,TB,0.0,QB
John Wolford,JAC,0.0,QB
Sam Ehlinger,DEN,0.0,QB
Desmond Ridder,CIN,0.0,QB
Bailey Zappe,KC,0.0,QB
Skylar Thompson,PIT,0.0,QB
Chris Oladokun,KC,0.0,QB
Shane Buechele,BUF,0.0,QB
Stetson Bennett IV,LAR,0.0,QB
Sean Clifford,GB,0.0,QB
Dorian Thompson-Robinson,PHI,0.0,QB
Tommy DeVito,NYG,0.0,QB
Devin Leary,BAL,0.0,QB
Michael Pratt,TB,0.0,QB
Kurtis Rourke,SF,0.0,QB
Trevor Siemian,TEN,0.0,QB
Saquon Barkley,PHI,17.3,RB
Bijan Robinson,ATL,17.16,RB
Jahmyr Gibbs,DET,16.93,RB
Christian McCaffrey,SF,15.35,RB
De'Von Achane,MIA,15.17,RB
Derrick Henry,BAL,15.09,RB
Josh Jacobs,GB,14.42,RB
Ashton Jeanty,LV,14.15,RB
Kyren Williams,LAR,13.52,RB
Jonathan Taylor,IND,13.49,RB
Bucky Irving,TB,13.22,RB
Chase Brown,CIN,13.14,RB
James Cook,BUF,12.46,RB
Alvin Kamara,NO,12.32,RB
Breece Hall,NYJ,12.14,RB
Kenneth Walker III,SEA,11.98,RB
James Conner,ARI,11.95,RB
Omarion Hampton,LAC,11.66,RB
Chuba Hubbard,CAR,11.36,RB
D'Andre Swift,CHI,10.89,RB
Aaron Jones Sr.,MIN,10.72,RB
David Montgomery,DET,10.6,RB
Tony Pollard,TEN,10.43,RB
Joe Mixon,HOU,10.35,RB
TreVeyon Henderson,NE,10.09,RB
Isiah Pacheco,KC,9.49,RB
RJ Harvey,DEN,9.28,RB
Brian Robinson Jr.,WAS,9.25,RB
Tyrone Tracy Jr.,NYG,9.22,RB
Kaleb Johnson,PIT,9.19,RB
Jaylen Warren,PIT,9.04,RB
Javonte Williams,DAL,7.96,RB
Austin Ekeler,WAS,7.85,RB
J.K. Dobbins,DEN,7.85,RB
Travis Etienne Jr.,JAC,7.74,RB
Rhamondre Stevenson,NE,7.49,RB
Jordan Mason,MIN,7.45,RB
Zach Charbonnet,SEA,7.38,RB
Rachaad White,TB,7.09,RB
Tyjae Spears,TEN,6.95,RB
Quinshon Judkins,CLE,6.75,RB
Najee Harris,LAC,6.74,RB
Cam Skattebo,NYG,6.58,RB
Jerome Ford,CLE,6.5,RB
Tank Bigsby,JAC,6.04,RB
Trey Benson,ARI,5.84,RB
Dylan Sampson,CLE,5.74,RB
Jaylen Wright,MIA,5.66,RB
Ray Davis,BUF,5.49,RB
Jaydon Blue,DAL,5.46,RB
Rico Dowdle,CAR,5.38,RB
Tyler Allgeier,ATL,5.34,RB
Roschon Johnson,CHI,5.19,RB
Isaac Guerendo,SF,5.13,RB
Nick Chubb,HOU,5.02,RB
Bhayshul Tuten,JAC,4.82,RB
Braelon Allen,NYJ,4.8,RB
Kareem Hunt,KC,4.55,RB
MarShawn Lloyd,GB,4.47,RB
Miles Sanders,DAL,4.15,RB
Justice Hill,BAL,4.14,RB
Kendre Miller,NO,4.08,RB
Raheem Mostert,LV,4.06,RB
Woody Marks,HOU,3.92,RB
Blake Corum,LAR,3.85,RB
Samaje Perine,CIN,3.78,RB
Ty Johnson,BUF,3.48,RB
Keaton Mitchell,BAL,3.44,RB
Khalil Herbert,IND,3.29,RB
Antonio Gibson,NE,2.96,RB
Jarquez Hunter,LAR,2.83,RB
Elijah Mitchell,KC,2.73,RB
Kenneth Gainwell,PIT,2.58,RB
Devin Singletary,NYG,2.57,RB
Trevor Etienne,CAR,2.57,RB
Jaleel McLaughlin,DEN,2.55,RB
Tahj Brooks,CIN,2.44,RB
Will Shipley,PHI,2.38,RB
Devin Neal,NO,2.33,RB
Emanuel Wilson,GB,2.31,RB
Sean Tucker,TB,2.28,RB
Zamir White,LV,2.23,RB
Kyle Monangai,CHI,2.19,RB
A.J. Dillon,PHI,2.03,RB
Kyle Juszczyk,SF,1.84,RB
Brashard Smith,KC,1.82,RB
Jacory Croskey-Merritt,WAS,1.77,RB
DJ Giddens,IND,1.76,RB
