player,team,bye,pos,adp
Ja'Marr Chase,CIN,10,WR,1
Saquon Barkley,PHI,9,RB,2
Bijan Robinson,ATL,5,RB,3
Jahmyr Gibbs,DET,8,RB,4
Justin Jefferson,MIN,6,WR,5
CeeDee Lamb,DAL,10,WR,6
Christian McCaffrey,SF,14,RB,8
Puka Nacua,LAR,8,WR,11
Derrick Henry,BAL,7,RB,7
Amon-Ra St. Brown,DET,8,WR,10
Ashton Jeanty,LV,8,RB,12
Malik Nabers,NYG,14,WR,13
Nico Collins,HOU,6,WR,9
De'Von Achane,MIA,12,RB,15
Brian Thomas Jr.,JAC,8,WR,16
Josh Jacobs,GB,5,RB,17
Brock Bowers,LV,8,TE,18
Jonathan Taylor,IND,11,RB,14
Drake London,ATL,5,WR,21
Bucky Irving,TB,9,RB,22
A.J. Brown,PHI,9,WR,20
Josh Allen,BUF,7,QB,19
Lamar Jackson,BAL,7,QB,23
Chase Brown,CIN,10,RB,26
Ladd McConkey,LAC,12,WR,24
Kyren Williams,LAR,8,RB,25
Trey McBride,ARI,8,TE,28
Jayden Daniels,WAS,12,QB,27
Tyreek Hill,MIA,12,WR,34
Jaxon Smith-Njigba,SEA,8,WR,32
Breece Hall,NYJ,9,RB,36
James Cook,BUF,7,RB,30
Tee Higgins,CIN,10,WR,29
Garrett Wilson,NYJ,9,WR,37
George Kittle,SF,14,TE,31
Jalen Hurts,PHI,9,QB,33
Joe Burrow,CIN,10,QB,41
Davante Adams,LAR,8,WR,38
Omarion Hampton,LAC,12,RB,45
Alvin Kamara,NO,11,RB,44
Mike Evans,TB,9,WR,35
Terry McLaurin,WAS,12,WR,39
Marvin Harrison Jr.,ARI,8,WR,43
Kenneth Walker III,SEA,8,RB,42
Chuba Hubbard,CAR,14,RB,40
DJ Moore,CHI,5,WR,51
James Conner,ARI,8,RB,46
DK Metcalf,PIT,5,WR,48
Rashee Rice,KC,10,WR,54
Courtland Sutton,DEN,12,WR,56
Sam LaPorta,DET,8,TE,47
David Montgomery,DET,8,RB,49
DeVonta Smith,PHI,9,WR,57
Joe Mixon,HOU,6,RB,52
Patrick Mahomes II,KC,10,QB,50
RJ Harvey,DEN,12,RB,61
Zay Flowers,BAL,7,WR,58
Xavier Worthy,KC,10,WR,62
TreVeyon Henderson,NE,14,RB,74
T.J. Hockenson,MIN,6,TE,55
Jameson Williams,DET,8,WR,65
D'Andre Swift,CHI,5,RB,70
Isiah Pacheco,KC,10,RB,64
Tetairoa McMillan,CAR,14,WR,79
Travis Kelce,KC,10,TE,59
Aaron Jones Sr.,MIN,6,RB,71
Baker Mayfield,TB,9,QB,53
George Pickens,DAL,10,WR,68
Tony Pollard,TEN,10,RB,63
Kaleb Johnson,PIT,5,RB,66
Travis Hunter,JAC,8,WR,69
Calvin Ridley,TEN,10,WR,77
Jaylen Waddle,MIA,12,WR,75
Bo Nix,DEN,12,QB,67
Chris Olave,NO,11,WR,83
Mark Andrews,BAL,7,TE,60
Jerry Jeudy,CLE,9,WR,91
Chris Godwin,TB,9,WR,82
Jordan Addison,MIN,6,WR,89
Brian Robinson Jr.,WAS,12,RB,85
Tyrone Tracy Jr.,NYG,14,RB,92
Rome Odunze,CHI,5,WR,88
Jaylen Warren,PIT,5,RB,93
Quinshon Judkins,CLE,9,RB,97
Evan Engram,DEN,12,TE,86
Deebo Samuel Sr.,WAS,12,WR,102
Kyler Murray,ARI,8,QB,94
David Njoku,CLE,9,TE,76
Stefon Diggs,NE,14,WR,103
Cooper Kupp,SEA,8,WR,111
Travis Etienne Jr.,JAC,8,RB,109
Jared Goff,DET,8,QB,96
Jakobi Meyers,LV,8,WR,110
Jauan Jennings,SF,14,WR,106
Jayden Reed,GB,5,WR,101
