player,pos,proj_pts,auction_value,yahoo_adp_rank,risk_score,price_base,price_inflated,rank_for_curve,implied_price_from_adp,eff_pts,bid_cap,p_get_cap,idx,rostered,start_slot
Chris Oladokun,QB,0.0,,,0.0,,,,,0.0,,0.5,242,1.0,DST
Bijan Robinson,RB,17.16,,3.0,0.0,,,3.0,,17.16,,0.5,2,1.0,FLEX
Jermar Jefferson,RB,0.0,,,0.0,,,,,0.0,,0.5,361,1.0,K
Lamar Jackson,QB,22.09,,23.0,0.0,,,23.0,,22.09,,0.5,22,1.0,QB
Saquon Barkley,RB,17.3,,2.0,0.0,,,2.0,,17.3,,0.5,1,1.0,RB1
Jahmyr Gibbs,RB,16.93,,4.0,0.0,,,4.0,,16.93,,0.5,3,1.0,RB2
Josh Allen,QB,22.16,,19.0,0.0,,,19.0,,22.16,,0.5,18,1.0,SUPERFLEX
Brock Bowers,TE,11.92,,18.0,0.0,,,18.0,,11.92,,0.5,17,1.0,TE
Justin Jefferson,WR,15.22,,5.0,0.0,,,5.0,,15.22,,0.5,4,1.0,WR1
Ja'Marr Chase,WR,17.15,,1.0,0.0,,,1.0,,17.15,,0.5,0,1.0,WR2
Jalen Hurts,QB,21.11,,33.0,0.0,,,33.0,,21.11,,0.5,32,1.0,
Jayden Daniels,QB,20.93,,27.0,0.0,,,27.0,,20.93,,0.5,26,1.0,
Joe Burrow,QB,20.09,,41.0,0.0,,,41.0,,20.09,,0.5,40,1.0,
Patrick Mahomes II,QB,19.34,,50.0,0.0,,,50.0,,19.34,,0.5,49,1.0,
Baker Mayfield,QB,18.92,,53.0,0.0,,,53.0,,18.92,,0.5,52,1.0,
Kyler Murray,QB,18.76,,94.0,0.0,,,94.0,,18.76,,0.5,87,1.0,
